model,dataset,n_samples,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,spot_recognition_p10
final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,Al_deformed_LoG,576,0.9412532772661911,0.8904720590346389,0.04110938457597513,0.00481476282422793,0.12000381707912311,0.12168329837732017,0.13412205417666379,0.9895279339204232,0.9888806300651696,0.0670768311764631,0.950071946821279,0.9285179078578949
final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,Iron,536,0.931907379471544,0.8781258800247712,0.04226333901300026,0.006836986997592221,0.17605630491179095,0.18595833244469406,0.18309616663757322,0.9707494479284358,0.9680113948103207,0.10125341366823595,0.9448220210511293,0.909604012966156
final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,Ti7Al,580,0.9200030894628887,0.8658125409278377,0.0461489780131599,0.015233224563316668,0.23520801396205507,25.792910754834782,0.23678283110453652,0.948200567477736,0.9368498596137967,0.12950088459484535,0.9369270565180943,0.8809733808040618
final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,Iron_deformed,557,0.9190372818783327,0.8563584808387277,0.05131392053677909,0.006848067637320601,0.1674510670066736,0.17396411161261144,0.17800371367584653,0.9737478178429219,0.9714634298636199,0.09872606926040868,0.9338616801549545,0.8968070387840271
final_20260803-135417_augmented_spots_train_e200_b10_lr0.0001_s1,Cu,571,0.9134975381573947,0.8439808791656628,0.05337848111778341,0.004782842149657904,0.18522242811588396,0.18986758352265468,0.2138400834099424,0.972534696661236,0.971318542748533,0.11349683562652477,0.9300595278706526,0.896259069442749
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,IN718_twins,503,0.9880124889832604,0.9770770333633271,0.026774264422150897,0.015381705464895215,0.0720718981213053,0.07663211109446247,0.07208047028830938,0.9952205619802532,0.9941634496685051,0.035715178956849794,0.9806191121370608,0.9741855263710022
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Al,573,0.9764766304592811,0.9556246482576999,0.029919611594036714,0.009362895281848874,0.10038867257990554,0.10329348229222897,0.10054434289144804,0.9905609302287742,0.9896786375195569,0.05026926750879585,0.9732785077203214,0.9640896320343018
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Al_big_grains,552,0.9449150763668012,0.9044402020349018,0.033663070483126445,0.011489725019192269,0.172080777005117,0.18114489660449867,0.17371722104945692,0.967105073719353,0.9640953916570415,0.08332350632796685,0.9556260034441948,0.9251107811927796
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Al_small_grains,552,0.9401897388523903,0.8889475568481113,0.039465352376599025,0.0048744241302947685,0.12896373427297542,0.13096316257977617,0.1337773411170296,0.9854655217217363,0.9846839239631874,0.0613477807551069,0.950362193411675,0.9296994745731354
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Al_deformed_LoG,576,0.937722759321332,0.8837839857571654,0.0386499716082148,0.0043522709456738085,0.11668799336378773,0.11804315391539906,0.13156850243427065,0.9893470964291029,0.989059093925688,0.052360196058644864,0.9495363938104775,0.9253499805927277
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Iron,536,0.9321404232907651,0.877889273104383,0.04020800539327146,0.0062852658126364225,0.16868266405593327,0.1770510724050674,0.17656693595753453,0.971879601367374,0.9702552768276699,0.08244838952104241,0.945966208492642,0.9153205156326294
final_20260804-224906_augmented_spots_train_e200_b20_lr0.0002_s1,Ti7Al,580,0.922823079752511,0.8686385098716308,0.04253819936822201,0.013100257740307856,0.22231190685857216,0.2374092529865046,0.22421512441902325,0.9507552077030313,0.946683602754412,0.11289785202143007,0.9401424398709988,0.8965957164764404
