model_display,dataset,n_samples_best_10,n_samples_worst_10,recognition_mean_best_10,recognition_mean_worst_10,recognition_min_best_10,recognition_min_worst_10,recognition_max_best_10,recognition_max_worst_10,dice_mean_best_10,dice_mean_worst_10,iou_mean_best_10,iou_mean_worst_10,rmse_mean_best_10,rmse_mean_worst_10,recognition_gap,dice_gap,iou_gap,rmse_improvement
multi-output Tversky Loss batch 20,Al,10.0,10.0,0.9816660284996033,0.6423638790845871,0.980010747909546,0.4680096805095672,0.9837729334831238,0.8153190612792969,0.9912322759628296,0.6974300861358642,0.9826455295085907,0.601010337471962,0.018311158660799222,0.1306008852086961,0.33930214941501613,0.2938021898269654,0.38163519203662877,0.11228972654789687
multi-output Tversky Loss batch 20,Al_big_grains,10.0,10.0,0.977379035949707,0.5195596873760223,0.97597998380661,0.3997154831886291,0.9828872084617616,0.62355637550354,0.9861025035381317,0.554535037279129,0.9726518034934998,0.4631693422794342,0.01655621957033867,0.12714924626052376,0.45781934857368467,0.43156746625900266,0.5094824612140656,0.11059302669018509
multi-output Tversky Loss batch 20,Al_deformed_LoG,10.0,10.0,0.9681777119636535,0.7734303712844849,0.9642082452774048,0.580787718296051,0.9720988273620604,0.8244771361351013,0.97331303358078,0.8520638048648834,0.9481559514999389,0.7560715675354004,0.013710702769458249,0.12797479480504986,0.19474734067916866,0.1212492287158966,0.19208438396453853,0.11426409203559161
multi-output Tversky Loss batch 20,Al_small_grains,10.0,10.0,0.9657773315906525,0.7852359235286712,0.961314618587494,0.7275545001029968,0.9771547317504884,0.8202458620071411,0.9707896530628204,0.876360559463501,0.9434877634048462,0.7901004135608674,0.01923694927245374,0.08368875645101068,0.18054140806198127,0.09442909359931939,0.15338734984397884,0.06445180717855693
multi-output Tversky Loss batch 20,Cu,10.0,10.0,0.9569591104984283,0.6374836593866349,0.9512708187103271,0.4629144370555877,0.9679022431373596,0.7308489084243774,0.9611088573932648,0.7690062999725342,0.9253582715988159,0.6463657945394516,0.0196694383397698,0.2107919886708259,0.31947545111179343,0.19210255742073057,0.27899247705936425,0.1911225503310561
multi-output Tversky Loss batch 20,IN718_twins,10.0,10.0,0.9854200959205628,0.7424640536308289,0.9846988916397096,0.3781049847602844,0.9885128736495972,0.8630610108375549,0.9951739072799682,0.768023282289505,0.9903999447822571,0.6525276511907577,0.01623153025284404,0.1392418414354324,0.2429560422897339,0.22715062499046323,0.3378722935914994,0.12301031118258834
multi-output Tversky Loss batch 20,Iron,10.0,10.0,0.9658173561096192,0.6273095071315765,0.96234393119812,0.4677708148956299,0.9682216048240662,0.7104480266571045,0.9715882420539856,0.7070017158985138,0.9449718713760376,0.5639813065528869,0.01780805047601455,0.14308919049799437,0.33850784897804265,0.26458652615547185,0.38099056482315063,0.12528114002197982
multi-output Tversky Loss batch 20,Iron_deformed,10.0,10.0,0.9608229279518128,0.6107628166675567,0.9564571380615234,0.4723448753356933,0.9662439823150636,0.7190858721733093,0.9670388400554657,0.690378850698471,0.9363743782043457,0.5498839914798737,0.01722383592277759,0.15597188696265216,0.35006011128425607,0.27665998935699465,0.386490386724472,0.13874805103987456
multi-output Tversky Loss batch 20,Ti7Al,10.0,10.0,0.9744552314281464,0.4507689416408539,0.9704822301864624,0.3684682250022888,0.9899280667304992,0.4897916615009308,0.9804067552089691,0.504238224029541,0.961831396818161,0.4382526695728302,0.010991509212180919,0.113819289766252,0.5236862897872925,0.47616853117942814,0.5235787272453307,0.10282778055407107
multi-output Tversky Loss final Model,Al,10.0,10.0,0.9824002623558045,0.7278939366340638,0.9807567596435548,0.4954233765602112,0.9850555062294006,0.8316171765327454,0.9916173875331878,0.8302548676729202,0.9834060847759247,0.7579282224178314,0.01818189574405546,0.10689550423994656,0.2545063257217407,0.16136251986026762,0.2254778623580933,0.0887136084958911
