model_display,dataset,performance_group,rank_within_group,sample_name,spot_recognition_mean,dice_mean,iou_mean,rmse_mean
multi-output BCE/MSE Loss,Iron_deformed,worst 10,10,sample_054384,0.5050461292266846,0.4861883521080017,0.3894781470298767,0.191301941871643
multi-output BCE/MSE Loss,Ti7Al,best 10,1,sample_077653,0.992109477519989,0.9996614456176758,0.9993233680725098,0.009423654526472
multi-output BCE/MSE Loss,Ti7Al,best 10,2,sample_079138,0.9913161993026732,0.9994103312492372,0.9988220930099488,0.0076824626885354
multi-output BCE/MSE Loss,Ti7Al,best 10,3,sample_074943,0.9720141887664796,0.9828176498413086,0.9662301540374756,0.0192902311682701
multi-output BCE/MSE Loss,Ti7Al,best 10,4,sample_076527,0.9711351990699768,0.9840694665908812,0.9688208103179932,0.0206996537744998
multi-output BCE/MSE Loss,Ti7Al,best 10,5,sample_079592,0.9682034254074096,0.9868612289428712,0.9741487503051758,0.0239260420203208
multi-output BCE/MSE Loss,Ti7Al,best 10,6,sample_071760,0.9678720235824584,0.9779081344604492,0.9571695327758788,0.0138366688042879
multi-output BCE/MSE Loss,Ti7Al,best 10,7,sample_074934,0.96534264087677,0.967600166797638,0.9385337829589844,0.0120922178030014
multi-output BCE/MSE Loss,Ti7Al,best 10,8,sample_075456,0.9649773836135864,0.9760810136795044,0.953589677810669,0.0122072007507085
multi-output BCE/MSE Loss,Ti7Al,best 10,9,sample_079924,0.9645233154296876,0.987155556678772,0.9746394157409668,0.0202570855617523
multi-output BCE/MSE Loss,Ti7Al,best 10,10,sample_075881,0.9644629955291748,0.9862309098243712,0.9729628562927246,0.0191063378006219
multi-output BCE/MSE Loss,Ti7Al,worst 10,1,sample_078401,0.3501311242580414,0.3613527119159698,0.2818691730499267,0.1137889921665191
multi-output BCE/MSE Loss,Ti7Al,worst 10,2,sample_075562,0.36934894323349,0.4854550957679748,0.32053342461586,0.211249828338623
multi-output BCE/MSE Loss,Ti7Al,worst 10,3,sample_071288,0.3986802995204925,0.3950207531452179,0.3264746367931366,0.0767001062631607
multi-output BCE/MSE Loss,Ti7Al,worst 10,4,sample_073424,0.4020957350730896,0.3957746624946594,0.3275058269500732,0.1051383316516876
multi-output BCE/MSE Loss,Ti7Al,worst 10,5,sample_077500,0.415264755487442,0.4237910211086273,0.3365329504013061,0.1252951920032501
multi-output BCE/MSE Loss,Ti7Al,worst 10,6,sample_073381,0.4221752285957336,0.3991019427776336,0.3320878744125366,0.0509549677371978
multi-output BCE/MSE Loss,Ti7Al,worst 10,7,sample_073778,0.4284835457801819,0.398687869310379,0.3315148949623108,0.0720788091421127
multi-output BCE/MSE Loss,Ti7Al,worst 10,8,sample_075665,0.4301693141460418,0.4243512451648712,0.2915076613426208,0.1313366293907165
multi-output BCE/MSE Loss,Ti7Al,worst 10,9,sample_076792,0.4381890892982483,0.4794847369194031,0.4605866074562073,0.2168973982334137
multi-output BCE/MSE Loss,Ti7Al,worst 10,10,sample_071488,0.4404401779174804,0.4652751684188843,0.4298727810382843,0.107939213514328
multi-output BCE/MSE Loss small Dataset,Al,best 10,1,sample_018877,0.9775567054748536,0.9931466579437256,0.9864003658294678,0.0348302572965621
multi-output BCE/MSE Loss small Dataset,Al,best 10,2,sample_024590,0.9701181650161744,0.9927209615707396,0.9855732917785645,0.0304443314671516
multi-output BCE/MSE Loss small Dataset,Al,best 10,3,sample_020897,0.9693603515625,0.991159200668335,0.982494592666626,0.0262183547019958
multi-output BCE/MSE Loss small Dataset,Al,best 10,4,sample_022079,0.968058466911316,0.9919977188110352,0.984149694442749,0.0341567583382129
multi-output BCE/MSE Loss small Dataset,Al,best 10,5,sample_026149,0.96693754196167,0.9909241199493408,0.9820115566253662,0.0382357873022556
multi-output BCE/MSE Loss small Dataset,Al,best 10,6,sample_023748,0.9659600257873536,0.990243911743164,0.9806763529777528,0.0400531068444252
multi-output BCE/MSE Loss small Dataset,Al,best 10,7,sample_025544,0.9642984867095948,0.9874060750007628,0.9752789735794068,0.0393410176038742
multi-output BCE/MSE Loss small Dataset,Al,best 10,8,sample_026445,0.9626079201698304,0.98241126537323,0.9657374620437622,0.0365118570625782
multi-output BCE/MSE Loss small Dataset,Al,best 10,9,sample_023009,0.9624682068824768,0.9805752038955688,0.9619011878967284,0.0404659248888492
multi-output BCE/MSE Loss small Dataset,Al,best 10,10,sample_023937,0.9617868661880492,0.9820508360862732,0.9648243188858032,0.0463771969079971
multi-output BCE/MSE Loss small Dataset,Al,worst 10,1,sample_024794,0.3092789351940155,0.3886605203151703,0.3121275603771209,0.2289916574954986
multi-output BCE/MSE Loss small Dataset,Al,worst 10,2,sample_019375,0.4112393856048584,0.5052956342697144,0.3771964311599731,0.3183523118495941
multi-output BCE/MSE Loss small Dataset,Al,worst 10,3,sample_020976,0.4200286269187927,0.3952919244766235,0.2913505434989929,0.1718456149101257
multi-output BCE/MSE Loss small Dataset,Al,worst 10,4,sample_022862,0.4267080724239349,0.4089404940605163,0.291677862405777,0.2665556073188782
multi-output BCE/MSE Loss small Dataset,Al,worst 10,5,sample_022762,0.427327036857605,0.3998920917510986,0.3045674562454223,0.1646146029233932
multi-output BCE/MSE Loss small Dataset,Al,worst 10,6,sample_019026,0.4432179927825928,0.4201925992965698,0.3122361898422241,0.2454505562782287
multi-output BCE/MSE Loss small Dataset,Al,worst 10,7,sample_023573,0.4460323452949524,0.4513784945011139,0.3560773134231567,0.212306797504425
multi-output BCE/MSE Loss small Dataset,Al,worst 10,8,sample_019559,0.4497775435447693,0.4830870032310486,0.4389163851737976,0.2525118887424469
multi-output BCE/MSE Loss small Dataset,Al,worst 10,9,sample_026164,0.4567744731903076,0.4483477175235748,0.4063680469989776,0.1541486978530883
multi-output BCE/MSE Loss small Dataset,Al,worst 10,10,sample_026341,0.4598255753517151,0.502610445022583,0.3833290040493011,0.2033264636993408
multi-output BCE/MSE Loss small Dataset,Al_big_grains,best 10,1,sample_004721,0.916924238204956,0.9584245085716248,0.922298789024353,0.0807417333126068
multi-output BCE/MSE Loss small Dataset,Al_big_grains,best 10,2,sample_008799,0.91688072681427,0.9486832022666932,0.903893232345581,0.0474819466471672
multi-output BCE/MSE Loss small Dataset,Al_big_grains,best 10,3,sample_007140,0.9160693883895874,0.9340009093284608,0.8822743892669678,0.0349927991628646
multi-output BCE/MSE Loss small Dataset,Al_big_grains,best 10,4,sample_003422,0.904625415802002,0.9341119527816772,0.8763795495033264,0.0570100247859954
multi-output BCE/MSE Loss small Dataset,Al_big_grains,best 10,5,sample_006310,0.8862111568450928,0.9282389879226683,0.8662227988243103,0.0777171030640602
multi-output BCE/MSE Loss small Dataset,Al_big_grains,best 10,6,sample_001429,0.8771587610244751,0.9468810558319092,0.9004402160644531,0.1158508509397506
multi-output BCE/MSE Loss small Dataset,Al_big_grains,best 10,7,sample_000120,0.8705581426620483,0.9538974761962892,0.9118704795837402,0.086000919342041
multi-output BCE/MSE Loss small Dataset,Al_big_grains,best 10,8,sample_007396,0.8627133369445801,0.9108515977859496,0.8408787250518799,0.0797895342111587
multi-output BCE/MSE Loss small Dataset,Al_big_grains,best 10,9,sample_003760,0.8592724800109863,0.9027241468429564,0.826957106590271,0.0901371389627456
multi-output BCE/MSE Loss small Dataset,Al_big_grains,best 10,10,sample_004840,0.8557878732681274,0.8846938610076904,0.7967442274093628,0.0546014606952667
multi-output BCE/MSE Loss small Dataset,Al_big_grains,worst 10,1,sample_005000,0.3050114214420318,0.3457192778587341,0.2618503868579864,0.1379528492689132
multi-output BCE/MSE Loss small Dataset,Al_big_grains,worst 10,2,sample_002862,0.3399071991443634,0.3715964257717132,0.2602066695690155,0.1489747464656829
multi-output BCE/MSE Loss small Dataset,Al_big_grains,worst 10,3,sample_008190,0.3824434280395508,0.4202235043048858,0.3542608916759491,0.1402113437652588
multi-output BCE/MSE Loss small Dataset,Al_big_grains,worst 10,4,sample_005706,0.3878262042999267,0.4262460470199585,0.3651964664459228,0.1429087668657302
multi-output BCE/MSE Loss small Dataset,Al_big_grains,worst 10,5,sample_006980,0.3878850936889648,0.4278454780578613,0.3580460846424103,0.1147662177681922
multi-output BCE/MSE Loss small Dataset,Al_big_grains,worst 10,6,sample_004241,0.3900133669376373,0.4470959305763244,0.3994436860084533,0.2332924604415893
multi-output BCE/MSE Loss small Dataset,Al_big_grains,worst 10,7,sample_004506,0.3944800198078155,0.4022296667098999,0.3306989073753357,0.1257218420505523
multi-output BCE/MSE Loss small Dataset,Al_big_grains,worst 10,8,sample_002976,0.3954496383666992,0.4348389506340027,0.3492603600025177,0.1396621316671371
multi-output BCE/MSE Loss small Dataset,Al_big_grains,worst 10,9,sample_003554,0.3957310318946838,0.5159882307052612,0.3640804886817932,0.1279907077550888
multi-output BCE/MSE Loss small Dataset,Al_big_grains,worst 10,10,sample_000227,0.3979735970497131,0.4105928838253021,0.31189626455307,0.0721807777881622
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,best 10,1,sample_010246,0.8581200838088989,0.9111760258674622,0.8385976552963257,0.0761704593896865
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,best 10,2,sample_011138,0.8565536737442017,0.9018275737762452,0.8262510299682617,0.0497895702719688
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,best 10,3,sample_011689,0.8487639427185059,0.9084303379058838,0.832373857498169,0.1127535328269004
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,best 10,4,sample_012417,0.8481067419052124,0.9210929870605468,0.8544740676879883,0.0960080921649932
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,best 10,5,sample_011676,0.8439104557037354,0.9161136150360109,0.8452334403991699,0.1097339540719986
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,best 10,6,sample_011166,0.8401338458061218,0.9011125564575196,0.8314176201820374,0.0860300809144973
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,best 10,7,sample_015415,0.834028422832489,0.9030620455741882,0.8323307633399963,0.1331224590539932
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,best 10,8,sample_017304,0.8337112069129944,0.8990612626075745,0.8234366774559021,0.1090208888053894
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,best 10,9,sample_017018,0.8293781280517578,0.9007331132888794,0.8261290192604065,0.0800589025020599
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,best 10,10,sample_012260,0.8293218612670898,0.8656492233276367,0.7650260329246521,0.1200805455446243
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,worst 10,1,sample_012556,0.3863418400287628,0.4099378883838653,0.3473684191703796,0.2819588780403137
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,worst 10,2,sample_015711,0.3877246081829071,0.3870129883289337,0.3156779706478119,0.2738926112651825
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,worst 10,3,sample_012530,0.3891755938529968,0.3775216042995453,0.3032407462596893,0.2834087610244751
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,worst 10,4,sample_009000,0.3896694481372833,0.3965908586978912,0.3199142217636108,0.2690971493721008
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,worst 10,5,sample_012420,0.3902183771133423,0.4488817751407623,0.4072463810443878,0.2219032347202301
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,worst 10,6,sample_014393,0.3918814957141876,0.3978102207183838,0.3303030431270599,0.2250585556030273
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,worst 10,7,sample_015792,0.3933135271072387,0.3798701167106628,0.3062827289104461,0.2605743110179901
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,worst 10,8,sample_014143,0.395510733127594,0.3733396232128143,0.2960406243801117,0.2219165414571762
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,worst 10,9,sample_009798,0.3997423648834228,0.3698630034923553,0.29347825050354,0.2154881358146667
multi-output BCE/MSE Loss small Dataset,Al_deformed_LoG,worst 10,10,sample_016367,0.4004318714141845,0.3925729393959045,0.3231441080570221,0.280697613954544
