model,dataset,n_samples,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,integrated_intensity_abs_relative_error_mean,spot_recognition_mean,spot_recognition_p10,soft_intensity_dice_mean,soft_intensity_dice_whole_mean
final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,Iron_deformed,557,0.8900855272419791,0.8226288001134965,0.07242961325373373,0.01020770492916258,0.2407336568583599,0.27769481204784535,0.24873571428913402,0.14125864158085208,0.9088279572808764,0.8202676773071289,0.934128273539312,0.9218288578186685
final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,Al_big_grains,552,0.8880039333109406,0.8323491901375245,0.04742229936401481,0.017801550338449684,0.2344115933123301,0.3540755154504238,0.23556008250908117,0.1353414126720779,0.9202908159814019,0.800934624671936,0.9198559823891391,0.8982805398063384
final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,Iron,536,0.8806915403302036,0.8160292344974048,0.061678212568678184,0.010634812094191256,0.2615159089232225,0.35499334920531334,0.2673671259093029,0.15744594413328417,0.909506662790455,0.7871374487876892,0.9084424770145274,0.8937184584896956
final_20260721-011126_augmented_spots_train_e200_b10_lr0.0001_s1,Ti7Al,580,0.8286603602869758,0.753910698767366,0.0653008292439185,0.02223722939901375,0.3413456682942743,0.5862539159487291,0.3426803853443085,0.22100759802691253,0.8816797670619241,0.747494649887085,0.8500764821110101,0.8289239254491082
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,IN718_twins,503,0.9545519189616558,0.918286408036651,0.021226990029260248,0.01421787684401923,0.057336718762371224,0.07363140704499087,0.057343656249033294,0.027828196800549036,0.9666624634450757,0.9424754619598389,0.9955328765730734,0.9918731961762218
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,Al,573,0.932801482669138,0.8828370943535477,0.02225919648839151,0.007333380312180995,0.07337665242219367,0.08062295816890752,0.07348965293358863,0.03329389302765408,0.9552711415873356,0.9311372995376587,0.9929473134859694,0.9916006500392268
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,Al_deformed_LoG,576,0.9170360796981387,0.8523143689251609,0.032107095491179884,0.004032084934200005,0.09571448581927042,0.10991071590170678,0.10929157591696519,0.045106642918350794,0.9424644938359658,0.9069469571113586,0.99117571198278,0.9876440735533834
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,Al_small_grains,552,0.9137300374931183,0.8478630185127258,0.03396903593903002,0.0045519267993201365,0.10997898583772822,0.12339620201079093,0.11458190906779382,0.053777076986422624,0.9398804993733115,0.9022013247013092,0.9879942284761996,0.9844537042621253
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,Cu,571,0.8568677390728231,0.7666482821550553,0.06243119417769662,0.006266449443953545,0.2124653620133258,0.2732843106739784,0.2382278419319938,0.12451627070519293,0.8972182712287703,0.8238818645477295,0.9538334475507252,0.9353896854429028
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,Iron,536,0.8498132782084729,0.7670258713969543,0.044879362176506045,0.008373663264219023,0.1883632399371144,0.27744866818634434,0.19542499916947711,0.09707677444276303,0.9024669581384801,0.8259819447994232,0.9547889579587908,0.9328408649385865
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,Al_big_grains,552,0.8487259014577105,0.7738602821161782,0.039909398607973795,0.016370220407396486,0.2018812146709314,1.4815543629195325,0.20328969402454686,0.10981088712224332,0.9044082491942074,0.8215872347354889,0.9424601375408794,0.9193763462961584
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,Iron_deformed,557,0.841618381668036,0.7508494781206497,0.05656882249240227,0.008607043375246915,0.19000969770326007,0.2468879930440945,0.19986747466094618,0.10066223838717694,0.8925247796990071,0.8238027572631836,0.9638245778302102,0.9461040317584197
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,Ti7Al,580,0.8116801976643759,0.7197228825297849,0.05093223035118767,0.019322322639596552,0.26443494897303654,3.2441735904984945,0.2659975479485403,0.14839184559351798,0.8803739845752716,0.8063187003135681,0.9124972575697405,0.8785004886573758
