model,model_path,sample_name,channel_assignment,dice_mean,iou_mean,rmse_mean,rmse_whole_mean,nrmse_mean,nrmse_whole_mean,nrmse_positive_mean,integrated_intensity_abs_relative_error_mean,soft_intensity_dice_mean,soft_intensity_dice_whole_mean,spot_recognition_mean,batch_eval_seconds,batch_seconds_per_sample,batch_seconds_per_spot,donor_keys,experiment,measured_overlap_fraction,requested_overlap_fraction,split,n_spots_<50%,n_spots_50-70%,n_spots_70-90%,n_spots_>90%
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045290,direct,0.9469262361526489,0.9025428295135498,0.018864145502448082,0.008232088759541512,0.04987485706806183,0.05074024945497513,0.049874864518642426,0.025928638875484467,0.9985463619232178,0.9984931945800781,0.9640311002731323,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|148|148|13487', '?|IN718_twins_logtif.h5|892|892|74351']",IN718_twins_logtif,0.8010118043844857,0.8076908804978582,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045306,swapped,0.9236963987350464,0.8584547638893127,0.04463912546634674,0.05379185080528259,0.12051016837358475,0.22010676562786102,0.12051016092300415,0.03651493415236473,0.992460310459137,0.9755212664604187,0.9395286440849304,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|385|385|32996', '?|IN718_twins_logtif.h5|1303|2679|229130']",IN718_twins_logtif,0.5260209346896654,0.6006662152735605,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045354,direct,0.9608510136604309,0.9253347516059875,0.03752482682466507,0.011017605662345886,0.10425896942615509,0.11337265372276306,0.10425897687673569,0.049628399312496185,0.9943827986717224,0.993402361869812,0.9616630673408508,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|814|814|68254', '?|IN718_twins_logtif.h5|1373|2751|238494']",IN718_twins_logtif,0.7356746765249538,0.7820446096352808,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045372,swapped,0.983426570892334,0.9673936367034912,0.013396084308624268,0.006390976719558239,0.023315608501434326,0.02386113628745079,0.023315589874982834,0.019484426826238632,0.9997079372406006,0.9996976852416992,0.9850152134895325,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|594|1972|167704', '?|IN718_twins_logtif.h5|1327|1327|113333']",IN718_twins_logtif,0.1235038084874864,0.12734852986758877,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045373,direct,0.9199950695037842,0.8606719970703125,0.009158818051218987,0.004805393982678652,0.02123519405722618,0.02124262973666191,0.021243155002593994,0.014485051855444908,0.9997634887695312,0.9997632503509521,0.9554181098937988,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|1269|2645|226379', '?|IN718_twins_logtif.h5|365|365|31591']",IN718_twins_logtif,0.3086680761099366,0.31273656700470315,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045389,swapped,0.9532755613327026,0.9126839637756348,0.03549445793032646,0.02034149318933487,0.11839587241411209,0.13953015208244324,0.1183958649635315,0.07064098119735718,0.9917978048324585,0.9897294044494629,0.9588905572891235,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|800|800|67551', '?|IN718_twins_logtif.h5|846|2224|189986']",IN718_twins_logtif,0.7302083333333333,0.7131819833686331,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045403,swapped,0.9685826301574707,0.9392752647399902,0.014613287523388863,0.007669522892683744,0.05818810313940048,0.05863238871097565,0.05818811431527138,0.01593395322561264,0.9977271556854248,0.9977140426635742,0.9769846796989441,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|1149|2527|215779', '?|IN718_twins_logtif.h5|1254|1254|105179']",IN718_twins_logtif,0.5490693739424704,0.5535967374325715,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045418,direct,0.9607564210891724,0.9252507090568542,0.018810704350471497,0.007258270867168903,0.05643536150455475,0.05695216357707977,0.05643535405397415,0.02358870394527912,0.9981399774551392,0.9981168508529663,0.9709728360176086,0.00845857197418809,0.0002643303741933778,0.0001321651870966889,"['?|IN718_twins_logtif.h5|482|1860|159475', '?|IN718_twins_logtif.h5|1094|1094|91293']",IN718_twins_logtif,0.6883720930232559,0.7103799253321017,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045433,direct,0.9286661148071289,0.8741695284843445,0.009976761415600777,0.006264698691666126,0.02937561273574829,0.029417678713798523,0.029375629499554634,0.014968104660511017,0.9995028972625732,0.9995020031929016,0.9593446850776672,0.00812904303893447,0.00025403259496670216,0.00012701629748335108,"['?|IN718_twins_logtif.h5|1065|1065|88847', '?|IN718_twins_logtif.h5|1279|2658|227665']",IN718_twins_logtif,0.3524305555555556,0.38400386387548724,train,0,0,0,2
final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1,checkpoints/final_20260721-102717_to_newloss_augmented_spots_train_e200_b10_lr0.0001_s1.pth,sample_045457,direct,0.9304068088531494,0.8703553080558777,0.022375451400876045,0.01312621496617794,0.06752455234527588,0.11321603506803513,0.06752455979585648,0.03193815052509308,0.9976868629455566,0.9924345016479492,0.9540156722068787,0.00812904303893447,0.00025403259496670216,0.00012701629748335108,"['?|IN718_twins_logtif.h5|533|1909|164412', '?|IN718_twins_logtif.h5|502|1879|160800']",IN718_twins_logtif,0.7208287895310797,0.6972434490819432,train,0,0,0,2
